"SchoolName","Address","City","Zipcode","County","geometry"
"Main Street Academy","2700 S Main Street","Winston-Salem",27127,"Forsyth",c(495654.406400003, 254861.3805)
"Reagan High","3750 Transou Road","Pfafftown",27040,"Forsyth",c(486804.124700002, 269311.0031)
"S Granville High of Health Sci","701 N Crescent Drive","Creedmoor",27522,"Granville",c(638982.437399998, 263460.375100002)
"Middle College at GTCC  GSO","3505 E Wendover Ave","Greensboro",27401,"Guilford",c(537891.375100002, 257676.265500002)
"Middle College at GTCC  High Point","901 South Main Street","High Point",27262,"Guilford",c(519064.406199999, 244122.3123)
"McLeansville Elementary","5315 Frieden's Church Rd","McLeansville",27301,"Guilford",c(550596.500100002, 261886.1094)
"Northern Guilford Middle","616 SimpsonCalhoun Rd","Greensboro",27455,"Guilford",c(537258.312299997, 272968.343699999)
"Dean B Pruett SCALE Academy","900 English Road","High Point",27262,"Guilford",c(518560.156199999, 244514.2029)
"Collaborative College for Technology","500 West Broad Street","Statesville",28677,"Iredell",c(438509.968699999, 227198.656100001)
"East Mooresville Intermediate","1711 Landis Highway","Mooresville",28115,"Iredell",c(448259.093900003, 206376.109499998)
"Dixon Road Elementary","835 Dixon Road","Willow Springs",27592,"Johnston",c(647290.499899998, 197886.1721)
"Lee Early College","1105 Kelly Drive","Sanford",27330,"Lee",c(596333.5625, 190639.234200001)
"Kiser Intermediate","301 Jeb Seagle Drive","Lincolnton",28092,"Lincoln",c(404027.218800001, 193943.374899998)
"Childers Elementary","2595 Rock Dam Road","Lincolnton",28092,"Lincoln",c(400017.781199999, 193913.843800001)
"Ardrey Kell High","10220 Ardrey Kell Rd","Charlotte",28277,"Mecklenburg",c(442230.687700003, 144086.109499998)
"Bailey Middle","11900 Bailey Rd","Cornelius",28031,"Mecklenburg",c(443579.843599997, 192329.2656)
"Chantilly Montessori","701 Briar Creek Rd","Charlotte",28205,"Mecklenburg",c(445714.187399998, 163064.1873)
"Community House Middle","9500 Community House Rd","Charlotte",28277,"Mecklenburg",c(443254.906499997, 143797.546999998)
"Highland Creek Elementary","7242 Highland Creek Pkwy","Charlotte",28269,"Mecklenburg",c(450121.375, 182813.484499998)
"J.V. Washam Elementary","9611 Westmoreland Rd","Cornelius",28031,"Mecklenburg",c(440041.851999998, 191980.605)
"Performance Learning Center","1400 N. Graham St","Charlotte",28206,"Mecklenburg",c(442665.968900003, 166965.515500002)
"Torrence Creek Elementary","14550 Ranson Rd","Huntersville",28078,"Mecklenburg",c(439421.093900003, 185908.1094)
"Winget Park Elementary","12235 Winget Rd","Charlotte",28278,"Mecklenburg",c(427211.499799997, 154911.4844)
"Olympic High  Renaissance School","4301 Sandy Porter Rd Suite D","Charlotte",28273,"Mecklenburg",c(431922.343599997, 157912.156500001)
"Olympic HighMath Eng Tech Science","4301 Sandy Porter Rd Suite B","Charlotte",28273,"Mecklenburg",c(431922.343599997, 157912.156500001)
"Olympic High  Intl Study & Global Econ","4301 Sandy Porter Rd Suite A","Charlotte",28273,"Mecklenburg",c(431922.343599997, 157912.156500001)
"Olympic High Intl Bus & Comm Studies","4301 Sandy Porter Rd Suite C","Charlotte",28273,"Mecklenburg",c(431922.343599997, 157912.156500001)
"Olympic High  Biotech Health Pub Admin","4301 Sandy Porter Rd Suite E","Charlotte",28273,"Mecklenburg",c(431922.343599997, 157912.156500001)
"Lake Forest Academy","1802 S 15th Street","Wilmington",28401,"New Hanover",c(708418.250100002, 52224.4767000005)
"Partnership Academy","1006 East Storey Lane","Hillsborough",27278,"Orange",c(600292.1875, 258155.874899998)
"Pender Early College High","100 East Industrial Drive","Burgaw",28425,"Pender",c(708846.8125, 88482.9919999987)
"PSRC Early College at RCC","5160 Fayetteville Road","Lumberton",28360,"Robeson",c(608953.562600002, 102216.765700001)
"Koontz Elementary","685 East Ritchie Rd","Salisbury",28146,"Rowan",c(474258.593900003, 208941.468600001)
"Millbridge Elementary","155 Ed Deal Rd","China Grove",28023,"Rowan",c(459692.187700003, 206500.7031)
"Sampson Early College High","1801 Sunset Ave","Clinton",28329,"Sampson",c(668168.062700003, 137928.156399999)
"Stanly Early College High","141 College Drive","Albemarle",28001,"Stanly",c(497465.687399998, 176800.078299999)
"Surry Early College HS Design","630 South Main Street","Dobson",27017,"Surry",c(456081.656199999, 292742.343899999)
"Elkin Middle","300 Elk Spur St","Elkin",28621,"Surry",c(442627.312700003, 278296.718600001)
"Kensington Elementary","8701 Kensington Drive","Waxhaw",28173,"Union",c(447410.265699998, 133978.484299999)
"Porter Ridge High School","2839 Ridge Road","Indian Trail",28079,"Union",c(466069.8015, 149877.348299999)
"Porter Ridge Middle School","2827 Ridge Road","Indian Trail",28079,"Union",c(466344.932700001, 149722.822000001)
"Rock Rest Elementary","814 Old PagelandMonroe Rd","Monroe",28112,"Union",c(473805.384999998, 135011.6745)
"Union County Early College","4209A Old Charlotte Hwy","Monroe",28110,"Union",c(459594.245099999, 144992.816100001)
"Marvin Ridge Middle","2831 Crane Road","Waxhaw",28173,"Union",c(445796.965599999, 137302.3191)
"River Bend Elementary","6710 Perry Creek Road","Raleigh",27616,"Wake",c(651358.9027, 234696.4694)
"Barwell Road Elementary","3925 Barwell Road","Raleigh",27610,"Wake",c(649842.437399998, 220010.171999998)
"East Cary Middle","1111 SE Maynard Road","Cary",27511,"Wake",c(630759.370700002, 225187.1534)
"Forest Pines Elementary","11455 Forest Pines Drive","Raleigh",27614,"Wake",c(654792.25, 248265.968699999)
"River Oaks Middle","4700 New Bern Ave","Raleigh",27610,"Wake",c(649590.476999998, 227231.2436)
"Harris Creek Elementary","3829 Forestville Road","Raleigh",27616,"Wake",c(653603.150300004, 235650.5803)
"Holly Springs High","5329 Cass Holt Road","Holly Springs",27540,"Wake",c(623222.887999997, 208351.8616)
"Holly Grove Elementary","1451 Avent Ferry Road","Holly Springs",27540,"Wake",c(623133.520099998, 208766.179200001)
"Wake Early College of Health and Science","2901 Holston Lane","Raleigh",27610,"Wake",c(647201.312399998, 225824.875100002)
"East Wake School of Health Science","5101 Rolesville Road","Wendell",27591,"Wake",c(661589.836900003, 229012.629999999)
"East Wake School of Integrated Technolog","5101 Rolesville Road","Wendell",27591,"Wake",c(661588.5141, 228970.296599999)
"Socrates Academy","3909 Weddington Rd","Matthews",28105,"Mecklenburg",c(450101.250200003, 157331.781399999)
"Roxboro Community School","115 Lake Drive","Roxboro",27573,"Person",c(611519.249799997, 293170.156300001)
"Two Rivers Community School","1018 Archie Carroll Road","Boone",28607,"Watauga",c(374452.031400003, 277885.500100002)
"McGee's Crossroads Elem","10330 Hwy 50 North","Angier",27501,"Johnston",c(647805.625, 195517.671999998)
"Randolph Early College High","629 Industrial Park Avenue","Asheboro",27205,"Randolph",c(534427.437600002, 213563.968699999)
"CamTech High","103A US Highway 158 W","Camden",27921,"Camden",c(863475.121799998, 289477.192600001)
"Bitz Intermediate School","2028 Bevin St","Camp Lejeune",28547,"Cumberland",c(759566.312700003, 105626.171700001)
"Carrboro High","201 Rock Haven Rd","Carrboro",27510,"Orange",c(602046.124799997, 237565.109499998)
"Carpenter Elementary","2100 Morrisville Parkway","Cary",27519,"Wake",c(621630.812299997, 228978.312399998)
"Martin Luther King Jr Middle","500 Bilmark Ave","Charlotte",28213,"Mecklenburg",c(447581.906099997, 169661.6721)
"Carson High","290 Kress Venture Dr","China Grove",28023,"Rowan",c(469454.813699998, 202203.098200001)
"Haywood Early College","185 Freedlander Drive","Clyde",28721,"Haywood",c(253542.968699999, 203956.265799999)
"Pitts School Road Elementary","720 Pitts School Road SW","Concord",28027,"Cabarrus",c(459956.885600001, 178046.046500001)
"Gravelly Hill Middle","4819 West Ten Road","Efland",27243,"Orange",c(591905.562299997, 257340.3123)
"Macon Early College High School","827 Siler Road","Franklin",28734,"Macon",c(210642.883299999, 165206.2949)
"West View Elementary","11755 Cleveland Road","Garner",27529,"Johnston",c(649400.8125, 204556.906300001)
"Wayne Early / Middle College High","3000 Wayne Memorial Drive","Goldsboro",27534,"Wayne",c(705366.473499998, 183933.8116)
"AlamanceBurlington Middle College","1247 Jimmie Kerr Road","Graham",27253,"Alamance",c(577644.812600002, 257092.781399999)
"Hope Middle","2995 Mills Road","Greenville",27858,"Pitt",c(764924.9375, 196990.328200001)
"Challenger Early College High","2550 Hwy 70 SE","Hickory",28602,"Catawba",c(402614.875200003, 218762.015799999)
"Davidson Early College","297 DCCC Road","Lexington",27295,"Davidson",c(502727.1875, 235050.578000002)
"Cedar Fork Elementary","1050 Town Hall Drive","Morrisville",27560,"Wake",c(624053.792300001, 231493.916099999)
"JF Webb High School Of Health And Life S","3200 Webb Road","Oxford",27565,"Granville",c(645339.9375, 287499.844000001)
"SandHoke Early College High","1110 East Central Avenue","Raeford",28376,"Hoke",c(588307.874899998, 135859.265500002)
"Brier Creek Elementary","9801 Brier Creek Parkway","Raleigh",27617,"Wake",c(627185.224200003, 238707.502900001)
"Southern Lee High School","2301 Tramway Road","Sanford",27332,"Lee",c(592474.500200003, 187269.531199999)
"Johnston Co Middle College","245 College Rd","Smithfield",27577,"Johnston",c(669701.562600002, 194448.796999998)
"Marvin Ridge High","2825 Crane Road","Waxhaw",28173,"Union",c(445729.791500002, 137160.2744)
"Murrayville Elementary","225 Mabee Way","Wilmington",28411,"New Hanover",c(715565.624799997, 62149.0119000003)
"Creekside Elementary","431 Forlines Road","Winterville",28590,"Pitt",c(753117.812299997, 199352.749899998)
"Tar Heel Middle","14888 Hwy 87 West","Tar Heel",28392,"Bladen",c(628342.4375, 109491.710999999)
"Bethware Elementary","115 Bethware Drive","Kings Mountain",28086,"Cleveland",c(389980.463200003, 168914.410999998)
"Kings Mountain High","500 Phifer Road","Kings Mountain",28086,"Cleveland",c(393947.531400003, 167199.7031)
"Graham Elementary","1100 Blanton Street","Shelby",28150,"Cleveland",c(376866.343199998, 173693.217999998)
"James Love Elementary","309 James Love Road","Shelby",28152,"Cleveland",c(376072.769699998, 171202.3233)
"LillingtonShawtown Elementary","855 Old US 421","Lillington",27546,"Harnett",c(623888.6875, 182413.781100001)
"Fairview Elementary","251 Big Orange Way","Sylva",28779,"Jackson",c(228502.859499998, 186186.906399999)
"Smoky Mountain High","100 Smoky Mountain Drive","Sylva",28779,"Jackson",c(228118.859200001, 185991.4219)
"Scotts Creek Elementary","516 Parris Branch","Sylva",28779,"Jackson",c(230225.203000002, 192010.859200001)
"Wakelon Elementary","8921 Pippin Rd","Zebulon",27597,"Wake",c(664359.874799997, 228073.875)
"Millennium Charter Academy","500 Old Springs Rd","Mount Airy",27030,"Surry",c(466507.131800003, 308083.183200002)
"Bertie Early College High","819 Governor's Rd","Windsor",27983,"Bertie",c(788515.3477, 255200.541299999)
"Bertie Middle","652 US 13 North","Windsor",27983,"Bertie",c(792873.842, 256782.540199999)
"Bertie STEM High","715 US 13 North","Windsor",27983,"Bertie",c(792336.008299999, 257015.091899998)
"Buncombe County Middle College","340 Victoria Road","Asheville",28801,"Buncombe",c(287330.301700003, 207691.964000002)
"Robert L. Patton High School","701 Enola Road","Morganton",28655,"Burke",c(367956.687799998, 219899.180100001)
"Performance Learning Center","133 Stonecrest Circle SW","Concord",28027,"Cabarrus",c(464759.283500001, 180530.207199998)
"Long School","310 Kerr St NW","Concord",28025,"Cabarrus",c(464605.812700003, 185615.921799999)
"Fuller Performance Learning Center","314 Jasper St","Fayetteville",28301,"Cumberland",c(618655.687600002, 148335.890799999)
"Durham's Performance Learning Center","401 North Driver Street","Durham",27703,"Durham",c(620509.645300001, 248426.279300001)
"WG Pearson Magnet Middle","600 E Umstead St","Durham",27701,"Durham",c(618876.875, 247659.265700001)
"Southern School of Engineering","800 Clayton Rd","Durham",27703,"Durham",c(624689.562299997, 249772.296799999)
"Hillside New Tech High","3727 Fayetteville St","Durham",27707,"Durham",c(618130.437399998, 244395.7969)
"The Special Children's School","4505 Shattalon Dr","Winston-Salem",27106,"Forsyth",c(489519.281199999, 267132.156300001)
"Granville Central High","2043 Sanders Road","Stem",27581,"Granville",c(637722.935199998, 273289.408599999)
"S Granville HS of Integ Tech & Lead","701 N Crescent Drive","Creedmoor",27522,"Granville",c(638982.437399998, 263460.375100002)
"High School Ahead Academy","329 College Rd","Greensboro",27410,"Guilford",c(529040.749899998, 258888.968699999)
"Doris Henderson Newcomers School","411 Friendway Rd","Greensboro",27410,"Guilford",c(528306.749899998, 258908.734499998)
"Northern Guilford High","7101 Spencer Dixon Rd","Greensboro",27455,"Guilford",c(537489.500100002, 272711.406500001)
"Archer Lodge Middle","762 Wendell Rd","Wendell",27591,"Johnston",c(667028.330499999, 216829.244199999)
"Pumpkin Center Intermediate","3980 King Wilkinson Road","Lincolnton",28092,"Lincoln",c(415988.125, 198304.375100002)
"Elon Park Elementary","11425 Ardrey Kell Rd","Charlotte",28277,"Mecklenburg",c(446081.125100002, 146057.046999998)
"Mallard Creek High","3825 Johnston Oehler Rd","Charlotte",28269,"Mecklenburg",c(449084.906199999, 180845.171799999)
"Wilmington Early College High","4500 Blue Clay Rd Suite 234","Castle Hayne",28429,"New Hanover",c(712664.752999999, 64247.7641999982)
"Richmond Early College High","1042 W Hamlet Ave","Hamlet",28345,"Richmond",c(544786.719899997, 128016.256099999)
"Shive Elementary","655 Holshouser Rd","Rockwell",28138,"Rowan",c(479495.1875, 199676.531399999)
"Stanly Academy Learning Center","1121 Austin Street","Albemarle",28001,"Stanly",c(499663.662, 179525.872200001)
"Rea View Elementary","320 Reid Dairy Road","Waxhaw",28173,"Union",c(447662.063600004, 141909.9164)
"New Town Elementary","1100 WaxhawIndian Tr. Rd.","Waxhaw",28173,"Union",c(454020.375200003, 137423.093899999)
"Rocky River Elementary","500 N. Rocky River Road","Monroe",28110,"Union",c(462679.354599997, 139230.999899998)
"East Garner Elementary","5545 Jones Sausage Road","Garner",27529,"Wake",c(646909.575099997, 217251.5594)
"East Wake School of Arts Education and G","5101 Rolesville Road","Wendell",27591,"Wake",c(661595.128700003, 228955.7445)
"East Wake School of Engineering","5101 Rolesville Road","Wendell",27591,"Wake",c(661572.638999999, 228992.7863)
"Warren New Tech High","219 US Hwy 158 Bypass","Warrenton",27589,"Warren",c(685397.250200003, 294583.4998)
"Wayne School of Engineering","700 N Herman Street","Goldsboro",27530,"Wayne",c(702129.875, 181945.500100002)
"Yadkin Early College","4649 Highway 601","Yadkinville",27055,"Yadkin",c(458981.231299996, 267300.436000001)
"Voyager Academy","101 Hock Parc","Durham",27704,"Durham",c(618950.488899998, 254683.598099999)
"Neuse Charter School","909 Booker Dairy Rd","Smithfield",27577,"Johnston",c(673961.25, 198418.828200001)
"Charlotte Secondary School","8310 McAlpine Park Dr","Charlotte",28211,"Mecklenburg",c(450101.250200003, 157331.781399999)
"William Ellis Middle","144 William Ellis Drive","Advance",27006,"Davie",c(482634.9168, 242654.265999999)
"Highland Elementary","3720 Bonnar Bridge Parkway","Burlington",27215,"Alamance",c(562940.710000001, 256274.952500001)
"Anson Co. Early College High","680 Highway 74 West","Polkton",28135,"Anson",c(499073.218699999, 139432.265799999)
"Anson New Tech High","118 W. Ashe Street","Wadesboro",28170,"Anson",c(508961.937399998, 136840.656199999)
"Carl A Furr Elementary","2725 Clover Road","Concord",28027,"Cabarrus",c(456374.375, 181773.796999998)
"Charles E Boger Elementary","5150 Dove Field Lane","Concord",28027,"Cabarrus",c(458657.485399999, 190331.4386)
"Hickory Ridge High","7321 Raging Ridge Road","Harrisburg",28075,"Cabarrus",c(460985.781199999, 174285.625100002)
"Catawba Rosenwald Education Center","403 6th Ave SW","Catawba",28609,"Catawba",c(421794.001999997, 218555.674800001)
"Virginia Cross Elementary","234 Cross School Road","Siler City",27344,"Chatham",c(569705.299099997, 217839.853599999)
"Creekside Elementary","2790 Landscape Drive","New Bern",28562,"Craven",c(790110.924999997, 143484.565400001)
"Davie County Early College High","1211 Salisbury Road","Mocksville",27028,"Davie",c(469188.364200003, 236394.9168)
"Jacket Academy at Carver High","3545 Carver School Rd","Winston-Salem",27105,"Forsyth",c(501001.375, 265270.031300001)
"Greene Early College High","818 Highway 91","Snow Hill",28580,"Greene",c(730135.3125, 192274.359499998)
"Northern Guilford Elementary","3801 NC Hwy 150 East","Greensboro",27455,"Guilford",c(540594.562600002, 275036.406300001)
"EP Pearce Elementary","2006 Pleasant Ridge Rd","Greensboro",27410,"Guilford",c(524984.624799997, 266080.1873)
"Reedy Fork Elementary","4571 Reedy Fork Pkwy","Greensboro",27405,"Guilford",c(546940.594499998, 270507.033399999)
"Woodland Heights Elementary","288 Forest Lake Boulevard","Mooresville",28117,"Iredell",c(435375.624899998, 203670.453299999)
"Lenoir County Early College High","231 Hwy 58 South","Kinston",28502,"Lenoir",c(739345.625, 165454.000100002)
